"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"BGW","BGW","NJF","OSB","KIR","GWY","4840","747"
"ISU","ISU","OSB","ORK","SNN","DUB","4722","757"
"NJF","NJF","ORK","GWY","NOC","SXL","5090","767"
"OSB","OSB","GWY","KIR","WAT","DUB","4672","777"
"ORK","ORK","SNN","NOC","CFN","DUB","818","BAE146"
"GWY","GWY","IOR","KIR","NOC","SXL","506","DC8"
"DUB","DUB","WAT","SNN","NNR","KIR","727","F50"
"NOC","NOC","SXL","CFN","INQ","SNN","551","MD11"
"KIR","KIR","IIA","IOR","SXL","WAT","672","A400M"
"SNN","SNN","NNR","BYT","WAT","CFN","1007","C212"
"SXL","SXL","CFN","IOR","INQ","CHE","743","V22"
"WAT","WAT","IIA","IOR","NNR","IOM","924","BB1"
"CFN","NNR","INQ","TLV","BYT","CFN","cant complete trip","BA10"
"IOR","INQ","IIA","BEV","CHE","IOR","cant complete trip","SIS99"
"NNR","IIA","BYT","ETH","IOM","NNR","cant complete trip","SAH"
"INQ","BYT","CHE","HFA","TLV","INQ","cant complete trip","A319"
"IIA","IIA","CHE","IOM","RPN","BEV","7134","A320"
"BYT","BYT","IOM","TLV","VDA","ETH","7073","A321"
"CHE","CHE","HFA","SDV","TLV","BEV","5244","A330"
"IOM","IOM","CRV","RPN","BEV","ETH","6151","737"
"TLV","TLV","HFA","VDA","ETH","BRI","2501","747"
"BEV","BEV","SDV","HFA","RPN","FOG","2572","757"
"ETH","ETH","VDA","RPN","CRV","TAR","2686","767"
"HFA","HFA","SDV","VDA","LCC","BRI","2541","777"
"RPN","RPN","SDV","CRV","FOG","PSR","3048","BAE146"
"VDA","VDA","CRV","TAR","BDS","BRI","2839","DC8"
"SDV","SDV","LCC","BRI","FOG","SUF","2791","F50"
"CRV","CRV","TAR","FOG","PSR","CTA","1315","MD11"
"BRI","BRI","TAR","BDS","LCC","LMP","1622","A400M"
"FOG","FOG","PSR","LCC","SUF","PNL","1825","C212"
"TAR","TAR","BDS","PSR","PMO","CTA","1484","V22"
"LCC","LCC","BDS","SUF","REG","LMP","1506","BB1"
"PSR","PSR","SUF","CTA","TPS","PNL","1632","BA10"
"BDS","BDS","CTA","NSY","PMO","LMP","1668","SIS99"
"SUF","SUF","REG","PNL","LMP","AHO","2005","SAH"
"CTA","CTA","PMO","TPS","PNL","DCI","1335","A319"
"LMP","LMP","NSY","REG","PMO","CAG","1509","A320"
"PNL","PNL","TPS","REG","OLB","AHO","1656","A321"
"PMO","PMO","TPS","NSY","TTB","DCI","1281","A330"
"REG","REG","NSY","CAG","AHO","MXP","2387","737"
"TPS","TPS","DCI","AHO","OLB","BGY","2028","747"
"NSY","NSY","TTB","DCI","CAG","TRN","2361","757"
"AHO","AHO","OLB","CAG","ALL","MXP","1570","767"
"DCI","DCI","TTB","OLB","GOA","BGY","1450","777"
"CAG","CAG","TTB","TRN","MXP","LIN","1532","BAE146"
"OLB","OLB","ALL","MXP","BGY","PMF","1171","DC8"
"TTB","TTB","GOA","QPZ","BGY","TRN","1455","F50"
"MXP","MXP","LIN","TRN","CUF","ALL","498","MD11"
"BGY","BGY","PMF","GOA","ALL","AVB","939","A400M"
"TRN","TRN","GOA","QPZ","LIN","BZO","796","C212"
"ALL","ALL","CUF","LIN","PMF","BLQ","677","V22"
"GOA","GOA","QPZ","PMF","TSF","AVB","706","BB1"
"LIN","LIN","QPZ","CUF","FRL","BZO","1045","BA10"
"PMF","PMF","VBS","BLQ","AVB","CUF","1021","SIS99"
"QPZ","QPZ","TSF","AVB","TRS","BZO","723","SAH"
"CUF","CUF","BLQ","FRL","RMI","BZO","1056","A319"
"AVB","AVB","TSF","VIC","VBS","BLQ","517","A320"
