"Origin","Dest1","Dest2","Dest3","Dest4","Home","Cost(Euro)","Aircraft"
"VRN","SAY","CIA","EBA","PSA","VRN","952","F50"
"VCE","FLR","FCO","CIA","QLT","VCE","955","MD11"
"SAY","EBA","GRS","FCO","NAP","SAY","870","A400M"
"CIA","EBA","PSA","PEG","QLT","CIA","720","C212"
"FCO","QLT","NAP","AOI","FLR","FCO","922","V22"
"EBA","NAP","QSR","GRS","PSA","EBA","1071","BB1"
"QLT","PSA","AOT","FLR","PEG","QLT","1321","BA10"
"NAP","GRS","FLR","AOI","TQR","NAP","1038","SIS99"
"PSA","GRS","FNU","QSR","PEG","PSA","1553","SAH"
"FLR","PEG","VIF","AOI","AOT","FLR","1659","A319"
"GRS","QSR","TQR","AOI","MIL","GRS","1534","A320"
"PEG","QSR","CIY","FNU","AOT","PEG","2513","A321"
"AOI","AOT","OCJ","VIF","TQR","AOI","9028","A330"
"QSR","FNU","MIL","KIN","TQR","QSR","9691","737"
"AOT","MBJ","VIF","CIY","FNU","AOT","10089","747"
"TQR","MIL","POT","OCJ","VIF","TQR","9013","757"
"FNU","MIL","KTP","KIN","CIY","FNU","9593","767"
"VIF","OCJ","NEG","MBJ","CIY","VIF","9540","777"
"MIL","OCJ","KIN","NRT","POT","MIL","N/A","Not Feasible"
"CIY","KIN","MBJ","MMJ","KTP","CIY","N/A","Not Feasible"
"OCJ","MBJ","POT","IBR","NEG","OCJ","N/A","Not Feasible"
"KIN","POT","KTP","IWO","NRT","KIN","223","MD11"
"MBJ","KTP","NEG","SHM","MMJ","MBJ","N/A","Not Feasible"
"POT","NEG","NRT","OBO","IBR","POT","N/A","Not Feasible"
"KTP","NRT","MMJ","CTS","IWO","KTP","N/A","Not Feasible"
"NEG","MMJ","IBR","HKD","SHM","NEG","N/A","Not Feasible"
"NRT","IWO","IBR","SPK","OBO","NRT","29","BA10"
"MMJ","IWO","SHM","MMB","CTS","MMJ","N/A","Not Feasible"
"IBR","SHM","HKD","OBO","SHB","IBR","20","SAH"
"IWO","OBO","CTS","WKJ","SPK","IWO","34","A319"
"SHM","HKD","MMB","CTS","IKI","SHM","25","A320"
"OBO","HKD","UBJ","SPK","SHB","OBO","23","A321"
"CTS","SPK","MMB","WKJ","TSJ","CTS","25","A330"
